gatename,gate_in_1,gate_in_2,gate_in_3,gate_in_4,gate_in_5,fan_in_1,fan_in_2,fan_in_3,fan_in_4,fan_in_5,in_flipflop_1,in_flipflop_2,in_flipflop_3,in_flipflop_4,in_flipflop_5,out_flipflop_1,out_flipflop_2,out_flipflop_3,out_flipflop_4,out_flipflop_5,in_near_flipflop,out_near_flipflop,in_multiplexer_1,in_multiplexer_2,in_multiplexer_3,in_multiplexer_4,in_multiplexer_5,out_multiplexer_1,out_multiplexer_2,out_multiplexer_3,out_multiplexer_4,out_multiplexer_5,in_near_multiplexer,out_near_multiplexer,in_const_1,in_const_2,in_const_3,in_const_4,in_const_5,out_const_1,out_const_2,out_const_3,out_const_4,out_const_5,inv_1,inv_2,inv_3,inv_4,inv_5,loop_1,loop_2,loop_3,loop_4,loop_5,DPI,DPO,label
U304,5,9,24,56,76,2,5,12,32,56,1,0,1,8,9,0,0,0,0,0,1,10,0,1,0,1,6,0,0,0,0,0,2,10,0,1,0,2,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,1
U303,5,9,23,59,81,2,5,12,32,59,1,0,1,7,10,0,0,0,0,0,1,10,0,1,0,1,5,0,0,0,0,0,2,10,0,1,0,2,0,0,1,0,2,0,0,0,0,0,2,1,0,0,0,0,1,0,1
U302,6,18,50,67,112,2,7,25,48,71,0,0,8,8,5,0,0,0,0,0,3,10,0,0,0,6,8,0,0,0,0,0,4,10,1,0,2,0,0,1,0,2,0,0,0,0,0,1,3,1,0,0,0,0,3,1,1
U301,6,23,23,42,75,2,8,17,28,51,0,5,2,2,8,0,0,0,0,0,2,10,0,0,3,2,2,0,0,0,0,0,3,10,0,2,0,0,0,0,2,0,0,0,0,0,1,2,6,1,0,0,0,0,2,2,1
U300,12,11,19,35,52,2,6,13,26,38,2,2,1,5,0,0,0,0,0,0,1,10,0,0,2,1,5,0,0,0,0,0,3,10,2,0,0,0,0,2,0,0,0,0,0,0,1,4,6,1,0,0,0,0,1,3,1
U297,11,12,23,43,59,4,9,13,24,36,3,0,1,4,3,0,0,0,0,0,1,10,0,3,0,1,4,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,1,0,0,0,0,1,3,1
U296,12,27,47,73,97,3,15,31,46,64,0,3,7,3,1,0,0,0,0,0,2,10,0,0,3,7,3,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,2,2,1
U295,11,14,26,40,55,4,9,16,25,34,3,1,3,0,2,0,0,0,0,0,1,10,0,3,1,3,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,3,1
U294,8,15,25,36,50,4,10,18,28,35,0,2,3,1,3,0,0,0,0,0,2,10,0,0,2,3,1,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,0,0,0,0,2,3,1
U293,8,21,36,44,72,4,12,21,34,46,0,4,2,1,4,0,0,0,0,0,2,10,0,0,4,2,1,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,1,0,0,0,0,2,3,1
U230,5,8,13,17,29,2,5,9,13,20,1,1,2,0,1,0,0,0,1,0,1,4,0,1,1,2,0,0,0,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,1,0,0,0,1,1,10,0
U229,5,9,10,15,28,2,5,8,12,18,1,2,0,1,0,0,0,0,0,1,1,5,0,1,2,0,1,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,1,0,0,0,0,1,10,0
U228,5,9,10,15,28,2,5,8,12,18,1,2,0,1,0,0,0,0,1,0,1,4,0,1,2,0,1,0,0,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,1,0,0,0,1,1,10,0
U227,6,6,8,14,23,2,4,7,10,15,2,0,1,0,1,0,0,0,1,0,1,4,0,2,0,1,0,0,0,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,0,0,0,1,1,10,0
U226,5,8,14,18,30,2,5,9,14,19,1,1,2,0,0,0,0,1,0,1,1,3,0,1,1,2,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,10,0
U225,5,9,11,14,23,2,5,8,12,15,1,2,0,0,0,0,0,0,1,0,1,4,0,1,2,0,0,0,0,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10,0
U224,5,9,11,14,23,2,5,8,12,15,1,2,0,0,0,0,0,1,0,1,1,3,0,1,2,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,10,0
U223,6,6,7,10,17,2,4,6,8,10,2,0,0,0,0,0,0,1,0,1,1,3,0,2,0,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,10,0
U222,5,8,13,17,28,2,5,9,13,20,1,1,2,0,1,0,0,0,1,0,1,4,0,1,1,2,0,0,0,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,1,0,0,0,1,1,4,0
U221,5,9,10,15,27,2,5,8,12,18,1,2,0,1,0,0,0,0,0,1,1,5,0,1,2,0,1,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,1,0,0,0,0,1,5,0
U220,5,9,10,15,27,2,5,8,12,18,1,2,0,1,0,0,0,0,1,0,1,4,0,1,2,0,1,0,0,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,1,0,0,0,1,1,4,0
U219,6,6,8,14,21,2,4,7,10,15,2,0,1,0,1,0,0,0,1,0,1,4,0,2,0,1,0,0,0,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,0,0,0,1,1,4,0
U218,5,8,14,19,36,2,5,9,14,21,1,1,2,0,2,0,0,1,0,1,1,3,0,1,1,2,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,4,0
U217,5,9,11,18,29,2,5,8,13,18,1,2,0,1,1,0,0,0,1,0,1,4,0,1,2,0,1,0,0,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5,0
U216,5,9,11,18,29,2,5,8,13,18,1,2,0,1,1,0,0,1,0,1,1,3,0,1,2,0,1,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,4,0
U215,6,6,10,14,27,2,4,7,10,15,2,0,1,0,2,0,1,1,0,1,1,2,0,2,0,1,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,5,0
U214,3,6,6,9,16,1,3,5,8,12,0,2,0,1,0,0,0,1,8,1,2,3,0,0,2,0,1,0,0,8,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,0,0,0,1,5,0
U213,6,12,15,26,40,2,7,12,20,31,0,3,1,4,1,0,1,0,1,0,2,2,0,0,3,1,4,1,0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,0,0,0,2,3,0
U212,6,6,7,10,17,2,4,6,8,10,2,0,0,0,0,0,0,0,1,1,1,4,0,2,0,0,0,0,0,1,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10,0
U211,6,6,10,14,27,2,4,7,10,15,2,0,1,0,2,0,0,0,1,1,1,4,0,2,0,1,0,0,0,1,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5,0
U210,6,6,8,14,23,2,4,7,10,15,2,0,1,0,1,0,0,0,0,1,1,5,0,2,0,1,0,0,0,0,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,1,0,0,0,0,1,10,0
U209,6,18,24,30,49,2,8,16,25,34,0,5,3,1,0,0,0,0,1,4,2,4,0,0,5,3,1,0,0,1,4,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,1,0,0,0,0,2,10,0
U208,6,6,8,14,21,2,4,7,10,15,2,0,1,0,1,0,0,0,0,1,1,5,0,2,0,1,0,0,0,0,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,1,0,0,0,0,1,5,0
U207,6,13,20,29,51,2,8,13,19,27,0,3,0,2,3,0,1,0,1,1,2,2,0,0,3,0,2,1,0,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,2,2,5,5,1,0,0,1,1,2,3,0
U206,1,3,7,9,12,1,2,5,8,12,0,0,2,0,2,0,0,1,0,1,3,3,0,0,0,2,0,0,1,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,1,0,0,0,0,0,10,0
U205,5,9,13,21,29,2,6,10,15,20,0,1,2,1,2,0,1,0,1,0,2,2,0,0,1,2,1,1,0,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,1,0,0,1,0,1,5,0
U204,7,16,29,45,66,2,9,16,27,38,0,2,2,7,1,0,1,0,1,1,2,2,0,0,2,2,7,1,0,1,0,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,1,2,2,4,0
U202,2,6,6,12,22,1,3,5,9,16,0,2,0,2,0,0,0,1,8,1,2,3,0,0,2,0,2,0,1,8,1,9,3,2,0,0,0,0,0,0,0,0,0,0,0,8,8,8,9,1,0,0,0,0,2,10,0
U201,6,18,18,31,45,2,8,14,21,33,0,6,0,1,1,0,0,2,0,1,2,3,0,0,6,0,1,0,2,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,10,0
U138,12,12,17,20,31,4,8,12,16,20,4,0,0,0,0,0,0,0,3,0,1,4,0,4,0,0,0,0,0,3,0,5,2,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,10,0
U137,4,12,12,17,20,1,5,9,13,17,0,4,0,0,0,0,0,1,0,5,2,3,0,0,4,0,0,0,1,0,5,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,5,0
U135,7,10,26,37,60,3,6,13,25,39,2,0,5,1,3,0,0,0,4,0,1,4,0,2,0,5,1,0,0,4,0,1,2,3,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,1,0,0,0,0,1,10,0
U132,12,12,17,20,31,4,8,12,16,20,4,0,0,0,0,0,0,0,0,2,1,5,0,4,0,0,0,0,0,0,2,4,2,4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,10,0
U131,4,12,12,17,20,1,5,9,13,17,0,4,0,0,0,0,0,0,1,4,2,4,0,0,4,0,0,0,0,1,4,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,10,0
U129,7,10,24,34,52,3,6,14,25,36,2,0,6,0,3,0,0,0,4,0,1,4,0,2,0,6,0,0,0,4,0,1,2,3,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,1,0,0,0,0,1,10,0
U128,6,11,17,31,43,2,7,12,20,32,0,3,0,5,0,0,0,4,0,1,2,3,0,0,3,0,5,0,4,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,1,0,0,0,0,2,10,0
U127,5,9,13,22,40,2,5,11,16,23,1,0,3,0,4,0,1,0,1,0,1,2,0,1,0,3,0,1,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,1,0,0,1,10,0
U126,4,12,17,24,38,2,6,13,20,26,0,2,3,0,3,0,1,0,1,0,2,2,0,0,2,3,0,1,0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,1,0,2,10,0
U125,4,11,20,28,42,2,6,14,22,29,0,1,5,0,2,0,1,0,1,0,2,2,0,0,1,5,0,1,0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,1,0,2,10,0
U124,4,11,19,31,46,2,6,14,23,30,0,1,4,2,1,0,1,0,1,0,2,2,0,0,1,4,2,1,0,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,1,0,2,10,0
U123,6,6,14,25,43,2,4,7,15,26,2,0,1,1,3,0,0,1,2,1,1,3,0,2,0,1,1,0,1,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,3,1,5,0
U120,6,6,8,14,23,2,4,7,10,16,2,0,1,0,1,0,0,0,1,0,1,4,0,2,0,1,0,0,0,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,0,0,0,0,1,10,0
U118,10,18,20,36,62,4,10,17,24,38,2,4,1,0,2,0,0,1,0,1,1,3,0,2,4,1,0,0,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,1,0,0,0,1,1,10,0
U117,7,10,25,29,51,3,6,14,25,38,2,0,7,0,3,0,0,1,0,1,1,3,0,2,0,7,0,0,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,1,0,0,0,0,1,10,0
U116,13,24,42,60,89,4,13,26,40,55,1,4,7,3,0,0,1,0,1,1,1,2,0,1,4,7,3,1,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,15,1,0,0,0,2,1,10,0
U114,10,18,25,34,54,3,9,17,28,41,2,4,3,0,3,0,0,0,1,0,1,4,0,2,4,3,0,0,0,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,1,10,0
U113,6,13,25,41,62,2,6,14,26,43,1,2,5,3,2,0,0,1,0,1,1,3,0,1,2,5,3,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,10,0
U112,9,9,18,23,38,3,6,11,20,27,3,0,3,0,2,0,0,1,0,1,1,3,0,3,0,3,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,1,0,1,10,0
U111,6,6,12,22,35,2,4,8,15,23,2,0,2,0,3,0,0,0,13,0,1,4,0,2,0,2,0,0,0,13,0,11,2,3,0,0,0,0,0,0,0,0,0,0,1,13,13,14,15,1,0,0,0,0,1,10,0
U109,8,23,40,61,91,4,12,21,31,41,0,4,4,3,0,0,1,0,1,0,2,2,0,0,4,4,3,1,0,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,0,0,1,2,2,10,0
U108,3,10,18,26,42,2,5,11,18,30,0,2,4,1,1,0,1,0,1,3,2,2,0,0,2,4,1,1,0,1,2,2,3,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,14,1,0,0,0,0,2,4,0
U107,9,9,18,23,38,3,6,11,20,27,3,0,3,0,2,0,0,1,0,9,1,3,0,3,0,3,0,0,1,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,1,4,0
U106,9,15,21,40,56,3,7,12,21,32,2,2,1,2,2,0,1,0,9,0,1,2,0,2,2,1,2,1,0,2,0,16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,1,3,0
U102,9,9,15,18,33,3,6,10,15,22,3,0,1,0,2,0,0,0,0,3,1,5,0,3,0,1,0,0,0,0,3,1,2,4,0,0,0,0,0,0,0,0,0,0,0,2,4,4,8,1,0,0,0,0,1,10,0
U101,6,12,14,21,31,2,6,11,16,24,1,3,1,0,2,0,0,0,2,2,1,4,0,1,3,1,0,0,0,2,1,6,2,3,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,1,0,0,0,0,1,5,0
U100,5,9,16,21,32,2,5,11,18,28,1,1,4,1,1,0,0,0,3,5,1,4,0,1,1,4,1,0,0,2,4,2,2,3,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,1,0,0,0,1,1,5,0
U99,2,5,9,16,21,1,3,6,12,19,0,1,1,4,1,0,0,1,4,0,2,3,0,0,1,1,4,0,0,4,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,10,0
U97,6,6,10,19,30,2,4,7,12,22,2,0,1,0,2,0,0,0,3,4,1,4,0,2,0,1,0,0,0,2,4,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,1,5,0
U96,2,6,12,14,21,1,3,7,12,17,0,1,3,1,0,0,0,0,1,4,2,4,0,0,1,3,1,0,0,0,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,10,0
U95,6,6,10,19,30,2,4,7,12,22,2,0,1,0,2,0,0,0,3,5,1,4,0,2,0,1,0,0,0,2,4,6,2,3,0,0,0,0,0,0,0,0,0,0,1,2,2,6,8,1,0,0,0,1,1,5,0
U94,6,12,14,21,31,2,6,11,16,24,1,3,1,0,2,0,0,0,1,4,1,4,0,1,3,1,0,0,0,1,2,9,2,3,0,0,0,0,0,0,0,0,0,0,1,2,2,6,7,1,0,0,0,0,1,5,0
U93,2,6,12,14,21,1,3,7,12,17,0,1,3,1,0,0,0,0,2,4,2,4,0,0,1,3,1,0,0,1,4,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,5,0
U92,6,10,12,22,33,4,8,12,19,29,0,2,1,4,1,0,0,1,4,0,2,3,0,0,2,1,4,0,0,4,0,1,3,3,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,0,0,0,2,10,0
U91,8,11,18,25,43,3,9,15,22,31,1,0,3,1,4,0,1,4,0,1,1,2,0,1,0,3,1,0,4,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,3,3,3,5,1,0,0,0,0,1,5,0
U90,6,11,16,27,41,2,6,14,21,29,1,1,1,3,1,0,1,1,1,0,1,2,0,1,1,1,3,1,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,1,0,1,0,0,1,4,0
U89,5,14,17,28,36,2,7,15,24,31,0,3,0,4,0,1,1,0,1,0,2,1,0,0,3,0,4,1,0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,1,0,0,1,0,2,4,0
U88,5,13,20,29,40,2,7,16,25,34,0,2,2,3,1,0,1,0,1,0,2,2,0,0,2,2,3,1,0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,1,0,0,1,0,2,4,0
U87,5,13,19,32,44,2,7,16,26,35,0,2,1,5,0,0,1,0,1,0,2,2,0,0,2,1,5,1,0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,1,0,0,1,0,2,4,0
U85,12,12,16,28,33,4,8,13,18,25,4,0,1,0,1,0,0,0,0,1,1,5,0,4,0,1,0,0,0,0,1,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,1,0,0,0,0,1,10,0
U83,10,18,30,48,69,4,9,18,30,44,2,1,5,3,1,0,0,1,0,1,1,3,0,2,1,5,3,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,1,0,0,1,1,1,5,0
U82,6,17,27,40,61,3,8,15,24,35,0,4,3,2,0,0,0,1,0,1,2,3,0,0,4,3,2,0,1,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,2,5,0
U80,6,11,17,31,51,3,6,10,18,28,1,1,1,4,2,0,0,1,0,1,1,3,0,1,1,1,4,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,1,0,0,1,1,1,4,0
U79,6,6,9,16,26,2,4,7,11,19,2,0,1,0,1,0,0,0,1,8,1,4,0,2,0,1,0,0,0,0,8,1,2,4,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,1,0,0,0,0,0,10,0
U77,7,9,12,20,28,3,6,10,15,24,2,0,2,0,1,0,0,2,8,1,1,3,0,2,0,2,0,0,1,8,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,2,3,3,6,1,0,0,0,0,1,4,0
U75,9,20,32,50,81,4,10,18,28,40,1,3,4,1,1,0,0,1,1,1,1,3,0,1,3,4,1,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,1,0,0,0,1,1,4,0
U74,4,9,20,32,50,1,5,11,19,29,0,1,3,4,1,0,1,1,1,0,2,2,0,0,1,3,4,1,0,1,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,0,0,0,1,2,3,0
U73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,4,0,0,0,0,0,0,0,1,0,1,10,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,1,0,0,0,0,0,5,0
U72,7,6,9,16,26,3,5,8,12,20,2,0,1,0,1,0,0,1,0,1,1,3,0,2,0,1,0,0,1,0,1,4,2,2,0,0,0,0,0,0,0,0,0,0,2,2,3,7,9,1,0,0,0,0,1,4,0
